id,name,zipcode,state_id:id,country_id:id
base.res_city_co_5002,Abejorral,55030,base.state_co_01,base.co
base.res_city_co_54003,Ábrego,546070,base.state_co_18,base.co
base.res_city_co_5004,Abriaquí,57460,base.state_co_01,base.co
base.res_city_co_50006,Acacías,507001,base.state_co_16,base.co
base.res_city_co_27006,Acandí,278010,base.state_co_12,base.co
base.res_city_co_41006,Acevedo,417070,base.state_co_13,base.co
base.res_city_co_13006,Achí,134020,base.state_co_04,base.co
base.res_city_co_41013,Agrado,414040,base.state_co_13,base.co
base.res_city_co_25001,Agua De Dios,252850,base.state_co_11,base.co
base.res_city_co_20011,Aguachica,205010,base.state_co_09,base.co
base.res_city_co_68013,Aguada,685521,base.state_co_21,base.co
base.res_city_co_17013,Aguadas,172020,base.state_co_06,base.co
base.res_city_co_85010,Aguazul,856010,base.state_co_26,base.co
base.res_city_co_20013,Agustín Codazzi,202050,base.state_co_09,base.co
base.res_city_co_41016,Aipe,411001,base.state_co_13,base.co
base.res_city_co_25019,Albán,253201,base.state_co_11,base.co
base.res_city_co_52019,Albán,520557,base.state_co_17,base.co
base.res_city_co_18029,Albania,186030,base.state_co_07,base.co
base.res_city_co_44035,Albania,403001,base.state_co_14,base.co
base.res_city_co_68020,Albania,684531,base.state_co_21,base.co
base.res_city_co_76020,Alcalá,762040,base.state_co_24,base.co
base.res_city_co_52022,Aldana,524540,base.state_co_17,base.co
base.res_city_co_5021,Alejandría,53820,base.state_co_01,base.co
base.res_city_co_47030,Algarrobo,472040,base.state_co_15,base.co
base.res_city_co_41020,Algeciras,413040,base.state_co_13,base.co
base.res_city_co_19022,Almaguer,194080,base.state_co_08,base.co
base.res_city_co_15022,Almeida,153020,base.state_co_05,base.co
base.res_city_co_73024,Alpujarra,734560,base.state_co_23,base.co
base.res_city_co_41026,Altamira,416020,base.state_co_13,base.co
base.res_city_co_27025,Alto Baudó,276070,base.state_co_12,base.co
base.res_city_co_13030,Altos Del Rosario,133501,base.state_co_04,base.co
base.res_city_co_73026,Alvarado,730520,base.state_co_23,base.co
base.res_city_co_5030,Amagá,55840,base.state_co_01,base.co
base.res_city_co_5031,Amalfi,52840,base.state_co_01,base.co
base.res_city_co_73030,Ambalema,731001,base.state_co_23,base.co
base.res_city_co_25035,Anapoima,252640,base.state_co_11,base.co
base.res_city_co_52036,Ancuyá,526001,base.state_co_17,base.co
base.res_city_co_76036,Andalucía,763010,base.state_co_24,base.co
base.res_city_co_5034,Andes,56060,base.state_co_01,base.co
