id,name,dian_code,phone_prefix,city_id:id
res_city_zip_55030,55030,5002,4,base.res_city_co_5002
res_city_zip_546070,546070,54003,7,base.res_city_co_54003
res_city_zip_57460,57460,5004,4,base.res_city_co_5004
res_city_zip_507001,507001,50006,8,base.res_city_co_50006
res_city_zip_278010,278010,27006,4,base.res_city_co_27006
res_city_zip_417070,417070,41006,8,base.res_city_co_41006
res_city_zip_134020,134020,13006,5,base.res_city_co_13006
res_city_zip_414040,414040,41013,8,base.res_city_co_41013
res_city_zip_252850,252850,25001,1,base.res_city_co_25001
res_city_zip_205010,205010,20011,5,base.res_city_co_20011
res_city_zip_685521,685521,68013,7,base.res_city_co_68013
res_city_zip_172020,172020,17013,6,base.res_city_co_17013
res_city_zip_856010,856010,85010,8,base.res_city_co_85010
res_city_zip_202050,202050,20013,5,base.res_city_co_20013
res_city_zip_411001,411001,41016,8,base.res_city_co_41016
res_city_zip_253201,253201,25019,1,base.res_city_co_25019
res_city_zip_520557,520557,52019,2,base.res_city_co_52019
res_city_zip_186030,186030,18029,8,base.res_city_co_18029
res_city_zip_403001,403001,44035,5,base.res_city_co_44035
res_city_zip_684531,684531,68020,7,base.res_city_co_68020
res_city_zip_762040,762040,76020,2,base.res_city_co_76020
res_city_zip_524540,524540,52022,2,base.res_city_co_52022
res_city_zip_53820,53820,5021,4,base.res_city_co_5021
res_city_zip_472040,472040,47030,5,base.res_city_co_47030
res_city_zip_413040,413040,41020,8,base.res_city_co_41020
res_city_zip_194080,194080,19022,2,base.res_city_co_19022
res_city_zip_153020,153020,15022,8,base.res_city_co_15022
res_city_zip_734560,734560,73024,8,base.res_city_co_73024
res_city_zip_416020,416020,41026,8,base.res_city_co_41026
res_city_zip_276070,276070,27025,4,base.res_city_co_27025
res_city_zip_133501,133501,13030,5,base.res_city_co_13030
res_city_zip_730520,730520,73026,8,base.res_city_co_73026
res_city_zip_55840,55840,5030,4,base.res_city_co_5030
res_city_zip_52840,52840,5031,4,base.res_city_co_5031
res_city_zip_731001,731001,73030,8,base.res_city_co_73030
res_city_zip_252640,252640,25035,1,base.res_city_co_25035
res_city_zip_526001,526001,52036,2,base.res_city_co_52036
res_city_zip_763010,763010,76036,2,base.res_city_co_76036
res_city_zip_56060,56060,5034,4,base.res_city_co_5034
res_city_zip_55830,55830,5036,4,base.res_city_co_5036
res_city_zip_51810,51810,5038,4,base.res_city_co_5038
res_city_zip_253040,253040,25040,1,base.res_city_co_25040
res_city_zip_52850,52850,5040,4,base.res_city_co_5040
res_city_zip_177080,177080,17042,6,base.res_city_co_17042
res_city_zip_762010,762010,76041,2,base.res_city_co_76041
res_city_zip_56850,56850,5044,4,base.res_city_co_5044
res_city_zip_730540,730540,73043,8,base.res_city_co_73043
res_city_zip_57840,57840,5045,4,base.res_city_co_5045
res_city_zip_663030,663030,66045,6,base.res_city_co_66045
res_city_zip_252650,252650,25599,1,base.res_city_co_25599
res_city_zip_152420,152420,15047,8,base.res_city_co_15047
res_city_zip_472001,472001,47053,5,base.res_city_co_47053
res_city_zip_171040,171040,17050,6,base.res_city_co_17050
res_city_zip_682051,682051,68051,7,base.res_city_co_68051
res_city_zip_810001,810001,81001,7,base.res_city_co_81001
res_city_zip_816010,816010,81065,7,base.res_city_co_81065
res_city_zip_252001,252001,25053,1,base.res_city_co_25053
res_city_zip_520570,520570,52051,2,base.res_city_co_52051
res_city_zip_544550,544550,54051,7,base.res_city_co_54051
res_city_zip_57820,57820,5051,4,base.res_city_co_5051
res_city_zip_154201,154201,15051,8,base.res_city_co_15051
res_city_zip_134520,134520,13042,5,base.res_city_co_13042
res_city_zip_54830,54830,5055,4,base.res_city_co_5055
res_city_zip_195560,195560,19050,2,base.res_city_co_19050
res_city_zip_761510,761510,76054,2,base.res_city_co_76054
res_city_zip_475010,475010,47058,5,base.res_city_co_47058
res_city_zip_131020,131020,13052,5,base.res_city_co_13052
res_city_zip_55860,55860,5059,4,base.res_city_co_5059
res_city_zip_630001,630001,63001,6,base.res_city_co_63001
res_city_zip_732060,732060,73055,8,base.res_city_co_73055
res_city_zip_131560,131560,13062,5,base.res_city_co_13062
res_city_zip_201040,201040,20032,5,base.res_city_co_20032
res_city_zip_735050,735050,73067,8,base.res_city_co_73067
res_city_zip_272010,272010,27050,4,base.res_city_co_27050
res_city_zip_233530,233530,23068,4,base.res_city_co_23068
res_city_zip_271050,271050,27073,4,base.res_city_co_27073
res_city_zip_276030,276030,27075,4,base.res_city_co_27075
res_city_zip_275030,275030,27077,4,base.res_city_co_27077
res_city_zip_195530,195530,19075,2,base.res_city_co_19075
